Node	Opinion
0	1
1	1
2	1
3	1
4	-1
5	1
6	1
7	0
8	1
9	-1
10	-1
11	-1
12	0
13	0
14	-1
15	1
16	1
17	1
18	-1
19	0
20	0
21	-1
22	0
23	-1
24	-1
25	1
26	-1
27	0
28	1
29	-1
30	1
31	0
32	-1
33	1
34	0
35	1
36	-1
37	1
38	1
39	1
40	1
41	-1
42	1
43	0
44	1
45	1
46	0
47	0
48	-1
49	1
50	0
51	0
52	-1
53	0
54	-1
55	-1
56	-1
57	1
58	-1
59	0
60	0
61	0
62	-1
63	1
64	-1
65	-1
66	0
67	0
68	0
69	0
70	1
71	-1
72	1
73	1
74	0
75	1
76	0
77	1
78	-1
79	0
80	1
81	-1
82	1
83	0
84	1
85	-1
86	1
87	-1
88	1
89	0
90	1
91	-1
92	0
93	-1
94	1
95	0
96	0
97	0
98	0
99	-1
100	-1
101	0
102	1
103	0
104	0
105	1
106	-1
107	1
108	0
109	1
110	1
111	0
112	-1
113	0
114	1
115	0
116	-1
117	1
118	-1
119	-1
120	1
121	1
122	-1
123	1
124	1
125	-1
126	1
127	-1
128	-1
129	-1
130	-1
131	1
132	-1
133	0
134	0
135	0
136	0
137	0
138	1
139	1
140	0
141	0
142	1
143	-1
144	1
145	0
146	1
147	1
148	-1
149	1
150	0
151	-1
152	-1
153	1
154	1
155	0
156	1
157	1
158	1
159	1
160	1
161	0
162	1
163	0
164	-1
165	0
166	1
167	1
168	1
169	1
170	-1
171	1
172	0
173	-1
174	-1
175	0
176	0
177	-1
178	-1
179	0
180	-1
181	-1
182	1
183	-1
184	1
185	0
186	-1
187	-1
188	0
189	1
190	-1
191	-1
192	1
193	-1
194	1
195	0
196	0
197	-1
198	0
199	0
200	0
201	-1
202	0
203	1
204	0
205	-1
206	0
207	1
208	0
209	0
210	1
211	-1
212	-1
213	-1
214	-1
215	1
216	1
217	1
218	-1
219	-1
220	0
221	1
222	1
223	-1
224	0
225	0
226	1
227	1
228	0
229	-1
230	1
231	1
232	0
233	-1
234	0
235	-1
236	1
237	1
238	-1
239	-1
240	1
241	0
242	1
243	1
244	0
245	0
246	-1
247	1
248	1
249	0
250	1
251	-1
252	1
253	0
254	1
255	1
256	-1
257	-1
258	-1
259	-1
260	0
261	1
262	0
263	0
264	1
265	1
266	-1
267	0
268	1
269	0
270	0
271	1
272	0
273	-1
274	-1
275	0
276	1
277	1
278	-1
279	0
280	0
281	-1
282	1
283	0
284	0
285	1
286	1
287	0
288	1
289	0
290	0
291	1
292	0
293	0
294	0
295	1
296	1
297	1
298	0
299	0
300	0
301	-1
302	0
303	0
304	1
305	-1
306	-1
307	1
308	1
309	1
310	0
311	1
312	1
313	-1
314	0
315	0
316	0
317	1
318	0
319	0
320	-1
321	1
322	1
323	1
324	-1
325	0
326	-1
327	1
328	-1
329	0
330	1
331	0
332	0
333	-1
334	1
335	0
336	1
337	1
338	1
339	0
340	-1
341	1
342	-1
343	0
344	1
345	0
346	-1
347	1
348	0
349	1
350	0
351	-1
352	-1
353	0
354	-1
355	1
356	-1
357	0
358	-1
359	0
360	1
361	-1
362	-1
363	-1
364	0
365	0
366	-1
367	-1
368	1
369	0
370	-1
371	1
372	1
373	-1
374	0
375	0
376	1
377	-1
378	-1
379	1
380	0
381	0
382	-1
383	-1
384	-1
385	0
386	-1
387	0
388	0
389	1
390	-1
391	1
392	-1
393	1
394	0
395	1
396	1
397	0
398	1
399	-1
400	-1
401	1
402	1
403	0
404	0
405	-1
406	-1
407	0
408	1
409	1
410	-1
411	1
412	0
413	-1
414	0
415	-1
416	0
417	1
418	-1
419	1
420	1
421	0
422	0
423	-1
424	-1
425	1
426	1
427	-1
428	-1
429	1
430	-1
431	0
432	0
433	1
434	-1
435	1
436	1
437	-1
438	0
439	1
440	-1
441	1
442	1
443	-1
444	1
445	-1
446	-1
447	1
448	0
449	0
450	1
451	0
452	-1
453	-1
454	1
455	-1
456	0
457	1
458	0
459	0
460	1
461	1
462	1
463	-1
464	1
465	-1
466	1
467	-1
468	1
469	-1
470	0
471	-1
472	1
473	0
474	0
475	-1
476	1
477	0
478	0
479	-1
480	0
481	1
482	1
483	1
484	0
485	-1
486	-1
487	-1
488	1
489	-1
490	0
491	0
492	0
493	1
494	0
495	-1
496	0
497	1
498	1
499	0
500	0
501	-1
502	0
503	-1
504	0
505	0
506	-1
507	1
508	-1
509	-1
510	-1
511	-1
512	1
513	0
514	1
515	1
516	0
517	-1
518	1
519	0
520	0
521	1
522	1
523	0
524	1
525	-1
526	1
527	1
528	1
529	0
530	-1
531	-1
532	1
533	1
534	1
535	-1
536	-1
537	0
538	0
539	0
540	1
541	-1
542	1
543	-1
544	0
545	0
546	-1
547	-1
548	-1
549	1
550	-1
551	-1
552	-1
553	-1
554	1
555	-1
556	1
557	0
558	0
559	0
560	0
561	-1
562	-1
563	-1
564	1
565	-1
566	1
567	1
568	-1
569	-1
570	1
571	1
572	-1
573	1
574	-1
575	-1
576	1
577	1
578	0
579	1
580	0
581	1
582	1
583	1
584	0
585	0
586	0
587	1
588	0
589	-1
590	1
591	1
592	0
593	-1
594	-1
595	1
596	1
597	1
598	1
599	0
